number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
0,0.9335306227483273,2026-01-11 01:18:44.708610,2026-01-11 01:24:37.210403,0 days 00:05:52.501793,7.234185076363382e-05,15,8,150,0.017029030923163713,COMPLETE
1,0.9396983701747481,2026-01-11 01:24:37.210773,2026-01-11 01:26:37.101126,0 days 00:01:59.890353,1.2063104813045424e-05,5,8,100,0.09671066140088617,COMPLETE
2,0.9239861170541529,2026-01-11 01:26:37.101436,2026-01-11 01:28:36.910585,0 days 00:01:59.809149,1.917341751705277e-05,5,8,100,0.03787907757172648,COMPLETE
3,0.8902890695573622,2026-01-11 01:28:36.910886,2026-01-11 01:35:47.826662,0 days 00:07:10.915776,1.4971104950055265e-05,15,4,100,0.017324345736577297,PRUNED
4,0.9051072219521418,2026-01-11 01:35:47.826940,2026-01-11 01:41:39.844253,0 days 00:05:52.017313,2.2918689388806877e-05,15,8,150,0.010819862033573935,PRUNED
5,0.9307347971919849,2026-01-11 01:41:39.844509,2026-01-11 01:43:39.677255,0 days 00:01:59.832746,2.549001318630002e-05,5,8,200,0.05091762980414264,PRUNED
6,0.9538961363522768,2026-01-11 01:43:39.677507,2026-01-11 01:48:48.289656,0 days 00:05:08.612149,1.593030812283818e-05,15,16,50,0.07936190284861025,COMPLETE
7,0.9351625540416101,2026-01-11 01:48:48.290018,2026-01-11 01:50:34.088706,0 days 00:01:45.798688,4.485307496202922e-05,5,16,50,0.006741787360209573,COMPLETE
8,0.8701526120602389,2026-01-11 01:50:34.089049,2026-01-11 01:57:45.003512,0 days 00:07:10.914463,3.287720302358575e-05,15,4,100,0.07038718045397824,PRUNED
9,0.9165616721586871,2026-01-11 01:57:45.003772,2026-01-11 02:00:11.255742,0 days 00:02:26.251970,2.696831010857566e-05,5,4,150,0.040480127928113986,PRUNED
10,0.8647340083574413,2026-01-11 02:00:11.255982,2026-01-11 02:03:38.179134,0 days 00:03:26.923152,1.0238277869398812e-05,10,16,50,0.09626968291856479,COMPLETE
11,0.9382697807592161,2026-01-11 02:03:38.179452,2026-01-11 02:07:05.237981,0 days 00:03:27.058529,1.0006067170674966e-05,10,16,50,0.096986886565444,COMPLETE
12,0.9612044405147854,2026-01-11 02:07:05.238298,2026-01-11 02:12:14.046166,0 days 00:05:08.807868,1.5129139526011843e-05,15,16,200,0.07713422993752576,COMPLETE
13,0.9306542710051482,2026-01-11 02:12:14.046542,2026-01-11 02:17:22.849961,0 days 00:05:08.803419,1.6454989909040856e-05,15,16,200,0.07750312774402801,PRUNED
14,0.9335306227483273,2026-01-11 02:17:22.850201,2026-01-11 02:22:31.517382,0 days 00:05:08.667181,4.075729307180496e-05,15,16,200,0.07137486264952983,PRUNED
