number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_ratio,params_weight_decay,state
0,0.7425458519758189,2026-01-12 19:24:24.258851,2026-01-12 19:27:27.270755,0 days 00:03:03.011904,1.4061915282453896e-05,10,16,0.06,0.10807444850978686,COMPLETE
1,0.7104625362689879,2026-01-12 19:27:27.271155,2026-01-12 19:30:29.712718,0 days 00:03:02.441563,1.0068649737260446e-05,10,16,0.03,0.03472706826769603,COMPLETE
2,0.756714646855492,2026-01-12 19:30:29.713073,2026-01-12 19:34:07.723256,0 days 00:03:38.010183,1.2983742940410306e-05,12,16,0.1,0.14856262178834115,COMPLETE
3,0.7884432128429534,2026-01-12 19:34:07.723611,2026-01-12 19:37:33.327486,0 days 00:03:25.603875,1.9932467313386963e-05,10,8,0.03,0.08908395522959892,COMPLETE
4,0.7871617522145371,2026-01-12 19:37:33.327871,2026-01-12 19:40:54.089787,0 days 00:03:20.761916,3.760359757364391e-05,8,4,0.1,0.013665021912453914,COMPLETE
5,0.768216389317779,2026-01-12 19:40:54.090199,2026-01-12 19:43:39.864959,0 days 00:02:45.774760,3.0406179402425295e-05,8,8,0.1,0.08169037642345132,PRUNED
6,0.7960007899045106,2026-01-12 19:43:39.865228,2026-01-12 19:47:17.834816,0 days 00:03:37.969588,2.450281775803561e-05,12,16,0.03,0.016257044308907176,COMPLETE
7,0.7950363126894264,2026-01-12 19:47:17.835234,2026-01-12 19:50:38.720251,0 days 00:03:20.885017,2.9942031686285688e-05,8,4,0.1,0.18134429929618429,COMPLETE
8,0.8115808541340456,2026-01-12 19:50:38.720680,2026-01-12 19:53:59.477871,0 days 00:03:20.757191,1.697508876240594e-05,8,4,0.06,0.11620337937823191,COMPLETE
9,0.766480044856184,2026-01-12 19:53:59.478245,2026-01-12 19:57:19.826904,0 days 00:03:20.348659,2.4264121791214863e-05,8,4,0.03,0.04706627338274085,PRUNED
10,0.8036556036556037,2026-01-12 19:57:19.827154,2026-01-12 20:00:40.359711,0 days 00:03:20.532557,1.731836257453565e-05,8,4,0.06,0.13304875140230782,COMPLETE
11,0.8115808541340456,2026-01-12 20:00:40.360195,2026-01-12 20:04:01.850500,0 days 00:03:21.490305,1.6746467078918588e-05,8,4,0.06,0.13119234201221613,COMPLETE
12,0.7880227564721242,2026-01-12 20:04:01.850866,2026-01-12 20:07:22.823625,0 days 00:03:20.972759,1.5797809914778366e-05,8,4,0.06,0.1478415198405015,PRUNED
13,0.7760942760942761,2026-01-12 20:07:22.823886,2026-01-12 20:10:43.722881,0 days 00:03:20.898995,1.1036976528240223e-05,8,4,0.06,0.1906849518024657,PRUNED
14,0.8251975113288982,2026-01-12 20:10:43.723146,2026-01-12 20:14:04.613888,0 days 00:03:20.890742,1.929443088364319e-05,8,4,0.06,0.11502855446465834,COMPLETE
