number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
0,0.6475235902298072,2026-05-01 20:08:20.512786,2026-05-01 20:09:01.354285,0 days 00:00:40.841499,7.24283255840355e-05,10,8,50,0.0171310006405908,COMPLETE
1,0.4654545454545455,2026-05-01 20:09:01.354693,2026-05-01 20:09:25.491365,0 days 00:00:24.136672,2.155629679966727e-05,5,4,200,0.016922437837618688,COMPLETE
2,0.7617845117845118,2026-05-01 20:09:25.491706,2026-05-01 20:10:03.858293,0 days 00:00:38.366587,3.3645058337584174e-05,10,16,200,0.0694678173732984,COMPLETE
3,0.6732710280373831,2026-05-01 20:10:03.858662,2026-05-01 20:11:13.092140,0 days 00:01:09.233478,1.7712713314839324e-05,15,4,150,0.032743777006326226,COMPLETE
4,0.33567251461988307,2026-05-01 20:11:13.092471,2026-05-01 20:11:33.085639,0 days 00:00:19.993168,2.123991294573259e-05,5,16,100,0.03267400275598802,PRUNED
5,0.7284166450833117,2026-05-01 20:11:33.085879,2026-05-01 20:12:11.603975,0 days 00:00:38.518096,4.061191473876816e-05,10,16,100,0.04561544306891753,COMPLETE
6,0.36344537815126055,2026-05-01 20:12:11.604352,2026-05-01 20:12:31.715919,0 days 00:00:20.111567,9.56697148330801e-05,5,16,150,0.07325619434576507,PRUNED
7,0.7751033724062061,2026-05-01 20:12:31.716193,2026-05-01 20:13:12.124349,0 days 00:00:40.408156,4.359125752003546e-05,10,8,200,0.07314180007131954,COMPLETE
8,0.7777777777777778,2026-05-01 20:13:12.124699,2026-05-01 20:14:21.372864,0 days 00:01:09.248165,3.6861648032006e-05,15,4,100,0.009101480111333415,COMPLETE
9,0.7636430883032824,2026-05-01 20:14:21.373169,2026-05-01 20:15:30.667684,0 days 00:01:09.294515,2.9534135187281215e-05,15,4,200,0.01788296227108469,COMPLETE
10,0.7059748427672957,2026-05-01 20:15:30.668056,2026-05-01 20:16:39.975835,0 days 00:01:09.307779,1.275423576225982e-05,15,4,100,0.0003096278145956928,PRUNED
11,0.7777777777777778,2026-05-01 20:16:39.976090,2026-05-01 20:17:20.369986,0 days 00:00:40.393896,5.420335918415761e-05,10,8,50,0.09869798752019421,COMPLETE
12,0.7183990851915381,2026-05-01 20:17:20.370339,2026-05-01 20:18:20.236641,0 days 00:00:59.866302,5.6746905667455434e-05,15,8,50,0.09604849592336234,PRUNED
13,0.7777777777777778,2026-05-01 20:18:20.236918,2026-05-01 20:19:00.655984,0 days 00:00:40.419066,5.921122552900029e-05,10,8,50,0.09639883773386086,COMPLETE
14,0.6845679012345679,2026-05-01 20:19:00.656348,2026-05-01 20:20:00.485695,0 days 00:00:59.829347,4.6251359098729195e-05,15,8,50,0.060467843012953826,PRUNED
