number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
0,0.9718070531297819,2026-01-08 15:02:41.366095,2026-01-08 15:08:46.202429,0 days 00:06:04.836334,2.188572907542648e-05,15,8,50,0.09647638289344981,COMPLETE
1,0.8923444976076554,2026-01-08 15:08:46.202834,2026-01-08 15:14:50.479019,0 days 00:06:04.276185,8.694736449602983e-05,15,8,100,0.06995805187080135,COMPLETE
2,0.9648541196563795,2026-01-08 15:14:50.479311,2026-01-08 15:20:10.527482,0 days 00:05:20.048171,4.097068622690011e-05,15,16,150,0.057761399149770444,COMPLETE
3,0.8914060264352615,2026-01-08 15:20:10.527809,2026-01-08 15:22:14.261260,0 days 00:02:03.733451,9.444678301352552e-05,5,8,150,0.0585777501058834,COMPLETE
4,0.9762112252308329,2026-01-08 15:22:14.261590,2026-01-08 15:29:37.373954,0 days 00:07:23.112364,1.3212205560398359e-05,15,4,150,0.018979659524688542,COMPLETE
5,0.9555018786902845,2026-01-08 15:29:37.374296,2026-01-08 15:34:57.302556,0 days 00:05:19.928260,1.8511248686148005e-05,15,16,100,0.06004409337902307,PRUNED
6,0.9265217306832975,2026-01-08 15:34:57.302815,2026-01-08 15:38:32.285127,0 days 00:03:34.982312,1.944859634331587e-05,10,16,150,0.004282017606498545,COMPLETE
7,0.9555018786902845,2026-01-08 15:38:32.285493,2026-01-08 15:44:36.149970,0 days 00:06:03.864477,3.0394612271283672e-05,15,8,150,0.026023434143617664,PRUNED
8,0.8715247715247715,2026-01-08 15:44:36.150213,2026-01-08 15:46:39.886668,0 days 00:02:03.736455,2.0401862793215555e-05,5,8,200,0.07515703825845127,PRUNED
9,0.9555018786902845,2026-01-08 15:46:39.886901,2026-01-08 15:52:43.634974,0 days 00:06:03.748073,1.608505030176193e-05,15,8,50,0.02773465430882809,PRUNED
10,0.9456788169439124,2026-01-08 15:52:43.635223,2026-01-08 15:57:39.968579,0 days 00:04:56.333356,1.1358551250603716e-05,10,4,200,0.0039363697264967745,COMPLETE
11,0.9706089843344744,2026-01-08 15:57:39.968973,2026-01-08 16:05:02.890515,0 days 00:07:22.921542,1.2664895956618207e-05,15,4,50,0.0981135221729805,COMPLETE
12,0.924443529964177,2026-01-08 16:05:02.890887,2026-01-08 16:12:25.974217,0 days 00:07:23.083330,3.137003916408901e-05,15,4,50,0.09804046547534759,PRUNED
13,0.9485160670438776,2026-01-08 16:12:25.974458,2026-01-08 16:19:48.659539,0 days 00:07:22.685081,4.2539759501306316e-05,15,4,50,0.035281661698486295,PRUNED
14,0.9181381638377787,2026-01-08 16:19:48.659784,2026-01-08 16:22:18.996283,0 days 00:02:30.336499,1.0034890693759332e-05,5,4,150,0.043302875396699844,COMPLETE
