model,total_samples,valid_samples,invalid_count,accuracy,macro_precision,macro_recall,macro_f1,待加強_precision,待加強_recall,待加強_f1,尚可_precision,尚可_recall,尚可_f1,精熟_precision,精熟_recall,精熟_f1
claude-sonnet-4-5,72,72,0,0.6388888888888888,0.7006172839506172,0.8127917833800188,0.6872222222222222,0.7777777777777778,1.0,0.875,0.9629629629629629,0.5098039215686274,0.6666666666666666,0.3611111111111111,0.9285714285714286,0.52
gemini-2.5-flash-lite,72,72,0,0.5,0.5139324277255312,0.6956115779645192,0.4952214080917489,0.3333333333333333,1.0,0.5,0.8636363636363636,0.37254901960784315,0.5205479452054794,0.3448275862068966,0.7142857142857143,0.46511627906976744
gemini-2.5-flash,72,72,0,0.5138888888888888,0.5100909842845327,0.6610644257703081,0.5117845117845118,0.4,0.8571428571428571,0.5454545454545454,0.8076923076923077,0.4117647058823529,0.5454545454545454,0.3225806451612903,0.7142857142857143,0.4444444444444444
gemini-2.5-pro,72,72,0,0.5277777777777778,0.7312169312169311,0.7194211017740431,0.6305108889854653,1.0,0.8571428571428571,0.9230769230769231,0.9047619047619048,0.37254901960784315,0.5277777777777778,0.28888888888888886,0.9285714285714286,0.4406779661016949
gemini-3-flash-preview,72,72,0,0.4305555555555556,0.61531279178338,0.6498599439775911,0.5047619047619049,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.23529411764705882,0.36923076923076925,0.27450980392156865,1.0,0.4307692307692308
gemini-3.1-flash-lite-preview,72,72,0,0.5,0.643355119825708,0.7474323062558357,0.5782652043868394,0.7,1.0,0.8235294117647058,0.9411764705882353,0.3137254901960784,0.47058823529411764,0.28888888888888886,0.9285714285714286,0.4406779661016949
gemini-3.1-pro-preview,72,72,0,0.4722222222222222,0.6104018912529551,0.7105508870214753,0.5297137235420746,0.6,0.8571428571428571,0.7058823529411765,0.9333333333333333,0.27450980392156865,0.42424242424242425,0.2978723404255319,1.0,0.45901639344262296
gemma-3-12b-it,72,72,0,0.7083333333333334,0.45175438596491224,0.6209150326797386,0.5172189733593242,0.5833333333333334,1.0,0.7368421052631579,0.7719298245614035,0.8627450980392157,0.8148148148148148,0.0,0.0,0.0
gemma-3-27b-it,72,71,1,0.5211267605633803,0.4687950937950938,0.6190476190476191,0.4703884663076268,0.2916666666666667,1.0,0.45161290322580644,0.7575757575757576,0.5,0.6024096385542169,0.35714285714285715,0.35714285714285715,0.35714285714285715
gemma-3-4b-it,72,71,1,0.39436619718309857,0.26031746031746034,0.35047619047619044,0.24953857511997046,0.11428571428571428,0.5714285714285714,0.19047619047619047,0.6666666666666666,0.48,0.5581395348837209,0.0,0.0,0.0
gpt-4.1,72,72,0,0.625,0.6830687830687832,0.7889822595704948,0.6743412554895376,0.7777777777777778,1.0,0.875,0.9285714285714286,0.5098039215686274,0.6582278481012658,0.34285714285714286,0.8571428571428571,0.4897959183673469
gpt-4o-mini,72,72,0,0.6527777777777778,0.6493993993993994,0.7091503267973857,0.6554323725055432,0.75,0.8571428571428571,0.8,0.8648648648648649,0.6274509803921569,0.7272727272727273,0.3333333333333333,0.6428571428571429,0.43902439024390244
gpt-4o,72,72,0,0.5138888888888888,0.5636636636636637,0.7366946778711485,0.5379980417262936,0.4666666666666667,1.0,0.6363636363636364,0.9,0.35294117647058826,0.5070422535211268,0.32432432432432434,0.8571428571428571,0.47058823529411764
llama-3.1-8b-instant,72,72,0,0.3888888888888889,0.27195027195027194,0.4705882352941176,0.26811594202898553,0.1794871794871795,1.0,0.30434782608695654,0.6363636363636364,0.4117647058823529,0.5,0.0,0.0,0.0
llama-3.3-70b-versatile,72,72,0,0.7222222222222222,0.6225193107546049,0.696545284780579,0.6491503267973856,0.7,1.0,0.8235294117647058,0.803921568627451,0.803921568627451,0.803921568627451,0.36363636363636365,0.2857142857142857,0.32
o4-mini,72,65,7,0.46153846153846156,0.5767276422764228,0.6597883597883598,0.5256262862820239,0.625,0.8333333333333334,0.7142857142857143,0.8125,0.28888888888888886,0.4262295081967213,0.2926829268292683,0.8571428571428571,0.43636363636363634
qwen-qwen3-32b,72,72,0,0.7083333333333334,0.6643434343434343,0.810924369747899,0.700167010511838,0.6363636363636364,1.0,0.7777777777777778,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.44,0.7857142857142857,0.5641025641025641
